cluster_25,cluster_lat,cluster_long,num_stations
0,1.3094581434162889,103.78557487509792,8
1,1.3899554057800012,103.8875907415092,12
2,1.3838767462301795,103.74740737369439,6
3,1.2992564109836247,103.85375861206977,13
4,1.361107906178483,103.94943344507828,3
5,1.3276623236322387,103.6464107579065,4
6,1.3656366371911717,103.84021965756054,8
7,1.4349520309946746,103.78397840079181,6
8,1.328020742703568,103.90856770111706,5
9,1.3397766688182082,103.73207634860722,3
10,1.3153009423083484,103.88196638453817,9
11,1.2770248244030509,103.80227804882651,6
12,1.3234329442624995,103.81068353656039,5
13,1.3440425216777094,103.96644719834539,4
14,1.427407113634116,103.8271744042632,5
15,1.3345977219802627,103.69381427529288,3
16,1.3801299384635124,103.7658701730617,11
17,1.323653604278816,103.8493640643868,8
18,1.352904261245112,103.76119781815865,4
19,1.3443761439412114,103.87562693041293,7
20,1.2797041128892541,103.8522408933632,14
21,1.2965081344106832,103.82814400373448,8
22,1.3944041910196874,103.90873021404329,10
23,1.3331740695934966,103.93673250427241,4
24,1.409553981983252,103.9029634218909,10
